timestamp,distancecm
20210803191243.000,90
20210803191243.000,92
20210803191243.500,91
20210803191243.750,92
20210803191244.000,92
20210803191244.500,93
20210803191244.500,91
20210803191245.000,92
20210803191245.000,91
20210803191245.500,91
20210803191245.500,91
20210803191246.000,94
20210803191246.000,90
20210803191246.500,90
20210803191246.500,91
20210803191247.000,91
20210803191247.000,90
20210803191247.500,91
20210803191247.500,92
20210803191248.000,90
20210803191248.000,91
20210803191248.500,92
20210803191248.500,90
20210803191249.000,91
20210803191249.000,91
20210803191249.500,92
20210803191249.500,90
20210803191250.000,91
20210803191250.000,91
20210803191250.500,90
20210803191250.500,91
20210803191251.000,92
20210803191251.000,90
20210803191251.500,90
20210803191251.500,89
20210803191252.000,90
20210803191252.000,89
20210803191252.500,90
20210803191252.500,90
20210803191253.000,90
20210803191253.000,88
20210803191253.500,91
20210803191253.500,89
20210803191254.000,90
20210803191254.000,90
20210803191254.500,91
20210803191254.500,90
20210803191255.000,90
20210803191255.000,89
20210803191255.500,88
20210803191255.500,89
20210803191256.000,89
20210803191256.000,90
20210803191256.500,89
20210803191256.500,88
20210803191257.000,88
20210803191257.000,89
20210803191257.500,90
20210803191257.500,89
20210803191258.000,89
20210803191258.000,89
20210803191258.500,90
20210803191258.500,89
20210803191259.000,89
20210803191259.000,89
20210803191259.500,89
20210803191259.500,88
20210803191300.000,89
20210803191300.000,87
20210803191300.500,87
20210803191300.500,88
20210803191301.000,87
20210803191301.000,87
20210803191301.500,88
20210803191301.500,87
20210803191302.000,86
20210803191302.000,88
20210803191302.500,87
20210803191302.500,88
20210803191303.000,86
20210803191303.000,87
20210803191303.500,87
20210803191303.500,87
20210803191304.000,89
20210803191304.000,88
20210803191304.500,87
20210803191304.500,87
20210803191305.000,88
20210803191305.000,88
20210803191305.500,88
20210803191305.500,87
20210803191306.000,88
20210803191306.000,90
20210803191306.500,88
20210803191306.500,88
20210803191307.000,88
20210803191307.000,88
20210803191307.500,88
20210803191307.500,88
20210803191308.000,87
20210803191308.000,88
20210803191308.500,87
20210803191308.500,89
20210803191309.000,87
20210803191309.000,88
20210803191309.500,86
20210803191309.500,88
20210803191310.000,88
20210803191310.000,88
20210803191310.500,88
20210803191310.500,88
20210803191311.000,87
20210803191311.000,88
20210803191311.500,88
20210803191311.500,88
20210803191312.000,88
20210803191312.000,89
20210803191312.500,88
20210803191312.500,87
20210803191313.000,88
20210803191313.000,88
20210803191313.500,88
20210803191313.500,88
20210803191314.000,37
20210803191314.000,34
20210803191314.500,36
20210803191314.500,34
20210803191315.000,40
20210803191315.000,89
20210803191315.500,86
20210803191315.500,87
20210803191316.000,90
20210803191316.000,86
20210803191316.500,87
20210803191316.500,87
20210803191317.000,86
20210803191317.000,88
20210803191317.500,87
20210803191317.500,88
20210803191318.000,86
20210803191318.000,88
20210803191318.500,88
20210803191318.500,86
20210803191319.000,86
20210803191319.000,93
20210803191319.500,88
20210803191319.500,86
20210803191320.000,86
20210803191320.000,87
20210803191324.000,87
20210803191324.000,87
20210803191324.500,88
20210803191324.500,88
20210803191325.000,86
20210803191325.000,86
20210803191325.500,86
20210803191325.500,87
20210803191326.000,87
20210803191326.000,87
20210803191326.500,86
20210803191326.500,88
20210803191327.000,89
20210803191327.000,87
20210803191327.000,85
20210803191330.250,88
20210803191330.750,88
20210803191330.750,87
20210803191331.250,88
20210803191331.250,88
20210803191331.750,87
20210803191331.750,88
20210803191332.250,89
20210803191332.250,88
20210803191332.750,86
20210803191332.750,88
20210803191333.250,88
20210803191333.250,87
20210803191333.750,88
20210803191333.750,87
20210803191334.250,88
20210803191334.250,87
20210803191335.250,88
20210803191335.250,89
20210803191336.250,86
20210803191336.250,88
20210803191337.750,87
20210803191337.750,87
20210803191338.750,89
20210803191338.750,86
20210803191339.750,87
20210803191339.750,88
20210803191340.750,88
20210803191340.750,88
20210803191341.750,87
20210803191341.750,86
20210803191342.750,89
20210803191342.750,88
20210803191343.750,88
20210803191343.750,87
